"Austen_Northanger.txt"	"Austen_Persuasion.txt"	"Austen_Pride.txt"	"Austen_Sense.txt"	"CBronte_Jane.txt"	"Dickens_Hard.txt"	"EEE_Adam.txt"
"young"	0.134539009844633	0.100818550613313	0.105970492557421	0.0861225616027158	0.0432872671305352	0.124214033297064	0.0972947428407285
"every"	0.168173762305792	0.121222304904102	0.162652383925344	0.315225298293435	0.0550443026474706	0.0799206570826071	0.06810631998851
"most"	0.142300875797208	0.147627163398065	0.154437617060428	0.128765771716682	0.0534410705315249	0.0587368684583016	0.0514272212158136
"over"	0.085380525478325	0.0960176672507741	0.0722899484112641	0.0819418547287975	0.136809140560704	0.124214033297064	0.0977580511399701
"these"	0.0646822162714583	0.0624114837130032	0.056681891367923	0.0535130479861535	0.0849713021451246	0.104956043638605	0.0509639129165721
"nothing"	0.144888164448067	0.165630476007585	0.14540137350902	0.156358437084542	0.0887121770823313	0.105918943121528	0.110267375219492
"way"	0.0905551027800417	0.0936172255695048	0.0887194821410968	0.06187446173399	0.0780239629760263	0.129991430194602	0.15706151344289
"take"	0.0608012832951708	0.0576106003504645	0.065718134919331	0.0376263618652642	0.0812304272079178	0.0943641493264518	0.110730683518734
"ever"	0.0983169687326167	0.0936172255695048	0.106791969243913	0.141307892338437	0.0839024807344941	0.115547937950757	0.0908084266513466
"again"	0.115134344963196	0.158429150963777	0.14540137350902	0.122912782093196	0.130930622802236	0.15213811830183	0.176057153711794
"myself"	0.0349283967865875	0.037206846059675	0.0772188085302139	0.0861225616027158	0.0994003911886363	0.0674029638046084	0.0324315809469095
"first"	0.133245365519204	0.133224513310449	0.119114119541287	0.133782619965384	0.0972627483673753	0.0751061596679923	0.102391134132386
"without"	0.143594520122637	0.129623850788545	0.14047251339007	0.146324740587138	0.0753519094494501	0.0799206570826071	0.0954415096437622
"don^t"	0.0038809329762875	0.00600110420317338	0.00492886011894982	0.0200673929948076	0.0828336593238636	0.192579896584596	0.0949782013445207
"house"	0.0763250152003208	0.106819654816486	0.0870765287681136	0.12374892346798	0.0897809984929618	0.0760690591509152	0.0778357942725828
"give"	0.0814995925020375	0.0936172255695048	0.101041632438471	0.10535381322274	0.0684045702803519	0.0606626674241476	0.064863161893819
"here"	0.113840700637767	0.0756139129599846	0.056681891367923	0.0510046238618026	0.103675676831158	0.168507409511521	0.0676430116892684
"letter"	0.0478648400408792	0.0396072877409443	0.0944698189465383	0.0627106031087736	0.0176355532754032	0.0231095875901515	0.0412344386324992
"let"	0.0452775513900208	0.0324059626971363	0.0616107514868728	0.0242480998687258	0.0716110345122433	0.0837722550142991	0.0940515847460376
"poor"	0.0362220411120167	0.0660121462349072	0.0312161140866822	0.059366037609639	0.0352711065508064	0.0558481700095327	0.101464517533903
"day"	0.116427989288625	0.0792145754818887	0.106791969243913	0.117895933844494	0.113829480232148	0.0828093555313761	0.0986846677384532
"indeed"	0.116427989288625	0.0756139129599846	0.0780402852167055	0.0836141374783648	0.0603884097006231	0.0471820746632259	0.0236287232613198
"where"	0.0659758605968875	0.0612112628723685	0.0731114250977557	0.076088865105312	0.124517694338453	0.127102731745833	0.122313390999773
